312 579
0 431.648 103.93
1 199.578 55.65
2 720.871 531.988
3 425.751 435.171
4 676.097 182.238
5 732.182 515.434
6 505.654 831.836
7 380.377 718.169
8 488.084 496.73
9 370.977 743.929
10 763.939 409.575
11 692.152 545.574
12 191.164 697.626
13 301.439 849.578
14 130.258 18.5862
15 306.904 579.72
16 638.727 665.533
17 6.13717 26.9271
18 257.565 313.011
19 368.729 294.056
20 358.264 585.251
21 443.948 534.089
22 699.778 58.3092
23 538.56 564.438
24 509.997 544.243
25 605.478 134.835
26 730.597 690.594
27 600.295 538.432
28 774.193 446.266
29 855.246 615.365
30 754.432 247.402
31 400.784 224.657
32 489.629 145.719
33 81.457 138.303
34 401.013 477.568
35 701.375 338.84
36 160.107 18.1224
37 592.997 441.475
38 703.215 419.976
39 748.716 526.198
40 205.232 296.562
41 869.399 126.342
42 333.815 58.7425
43 322.74 228.742
44 285.096 388.095
45 323.194 381.926
46 92.7131 9.72178
47 570.591 638.515
48 218.816 537.506
49 400.423 146.478
50 65.3779 492.133
51 608.058 331.08
52 340.841 541.2
53 748.811 287.793
54 344.34 168.181
55 372.878 806.658
56 341.587 657.99
57 557.68 480.255
58 377.845 76.2171
59 59.3175 713.076
60 878.6 92.9655
61 307.103 569.413
62 476.623 395.908
63 510.1 382.14
64 202.358 542.083
65 64.605 783.448
66 269.212 433.007
67 189.242 178.848
68 411.008 616.587
69 461.932 479.795
70 771.309 113.899
71 320.658 313.876
72 714.353 755.571
73 475.634 734.075
74 582.747 746.844
75 290.43 295.637
76 750.636 436.575
77 225.106 733.263
78 655.884 402.997
79 805.431 563.317
80 293.427 744.316
81 55.0245 90.9233
82 586.553 596.223
83 811.047 781.669
84 632.931 690.794
85 758.665 644.302
86 135.944 290.479
87 334.796 726.516
88 672.72 148.342
89 121.366 753.455
90 182.5 574.423
91 152.265 10.0666
92 733.33 864.62
93 586.483 204.83
94 194.929 767.932
95 789.066 599.106
96 736.083 343.937
97 193.983 279.513
98 446.813 1.83365
99 202.096 629.314
100 488.567 328.82
101 128.44 782.566
102 699.601 616.911
103 263.441 616.884
104 261.933 471.054
105 717.848 117.842
106 684.632 35.8213
107 70.6942 266.491
108 879.137 177.397
109 658.316 725.902
110 544.517 483.749
111 766.846 586.836
112 188.5 41.6308
113 357.029 436.15
114 402.66 112.153
115 226.24 329.114
116 664.418 240.574
117 761.926 621.563
118 640.706 390.977
119 588.536 491.687
120 100.973 682.466
121 625.346 510.359
122 255.941 247.475
123 332.896 74.8165
124 44.1359 221.906
125 486.248 446.373
126 187.31 715.587
127 813.365 287.222
128 666.834 605.784
129 577.784 572.116
130 667.237 755.332
131 80.906 348.243
132 491.359 40.6589
133 627.564 264.271
134 338.94 776.661
135 575.44 629.801
136 5.29743 115.486
137 692.013 335.352
138 386.923 391.028
139 240.419 190.802
140 6.81174 457.233
141 156.151 661.563
142 759.459 378.763
143 431.704 363.561
144 266.649 183.977
145 810.64 590.099
146 858.389 71.8494
147 475.679 693.294
148 765.94 441.543
149 327.143 747.699
150 479.816 549.938
151 152.223 139.923
152 213.791 30.8973
153 329.495 248.565
154 672.42 692.403
155 771.174 793.371
156 404.283 401.131
157 830.325 843.817
158 398.968 303.914
159 96.3524 569.731
160 428.378 1.68716
161 618.009 708.083
162 258.66 299.111
163 853.048 157.584
164 814.739 836.956
165 18.913 462.248
166 795.49 157.992
167 721.343 838.567
168 531.66 706.512
169 745.709 340.735
170 584.839 54.3309
171 569.078 654.044
172 271.065 573.678
173 112.941 627.433
174 762.383 872.792
175 151.867 504.526
176 71.6507 688.003
177 806.162 544.237
178 71.825 423.264
179 777.888 234.577
180 758.847 639.601
181 485.239 10.0392
182 746.329 801.927
183 455.676 240.539
184 145.261 144.633
185 565.627 97.4751
186 338.589 322.922
187 322.718 746.555
188 710.768 16.583
189 747.812 776.106
190 451.717 648.247
191 538.276 385.382
192 336.197 38.1748
193 320.975 198.028
194 825.651 19.5758
195 850.194 463.653
196 197.456 592.412
197 535.442 117.582
198 686.605 91.2593
199 521.679 73.6194
200 332.141 266.825
201 649.967 672.267
202 603.269 690.373
203 644.59 483.826
204 404.973 478.366
205 190.476 585.343
206 181.052 668.149
207 144.65 24.057
208 614.725 702.371
209 476.494 451.657
210 447.901 582.892
211 641.027 59.7856
212 31.5278 21.9226
213 361.368 618.157
214 436.888 686.42
215 25.8112 684.14
216 379.354 817.127
217 492.858 704.588
218 647.457 562.841
219 650.587 816.668
220 301.786 22.415
221 431.1 838.161
222 299.927 142.058
223 267.804 242.758
224 146.3 146.532
225 604.199 803.186
226 180.465 558.253
227 638.065 860.91
228 327.015 253.076
229 342.368 585.129
230 785.556 767.534
231 350.577 184.092
232 776.759 819.415
233 398.406 664.91
234 21.8218 250.62
235 727.246 283.97
236 815.696 869.026
237 25.2912 803.528
238 667.572 477.362
239 67.6316 347.019
240 545.574 167.509
241 12.2745 800.895
242 188.189 239.618
243 794.538 664.27
244 228.888 480.454
245 698.573 396.425
246 573.216 663.21
247 233.14 50.1614
248 599.467 233.783
249 568.563 325.739
250 207.535 102.8
251 214.427 163.395
252 547.187 746.694
253 292.911 406.668
254 667.257 708.773
255 590.569 489.352
256 403.188 186.526
257 608.791 56.8344
258 54.6246 180.782
259 631.225 473.13
260 492.457 727.318
261 651.454 542.487
262 767.178 811.098
263 168.596 76.8515
264 558.317 376.02
265 328.634 443.008
266 486.217 78.2713
267 247.599 529.678
268 121.611 575.934
269 382.138 849.226
270 678.687 314.529
271 29.6304 400.425
272 479.522 519.61
273 225.564 241.658
274 295.101 64.0273
275 82.632 770.561
276 665.004 419.952
277 841.558 59.131
278 362.359 82.0128
279 540.856 568.424
280 598.064 183.76
281 163.881 590.956
282 472.049 660.736
283 241.163 20.1588
284 116.804 608.146
285 225.443 464.259
286 601.529 87.9241
287 741.135 165.256
288 715.885 617.723
289 573.674 696.498
290 738.967 151.974
291 549.972 221.252
292 587.064 519.146
293 127.531 311.033
294 750.286 706.642
295 718.428 872.266
296 550.803 133.304
297 864.348 529.177
298 140.321 716.608
299 677.86 872.496
300 646.165 482.944
301 773.671 242.114
302 754.348 527.145
303 792.247 96.7991
304 746.783 214.69
305 18.7212 46.5531
306 139.924 436.87
307 649.556 80.668
308 407.283 659.206
309 726.948 451.542
310 133.87 648.293
311 396.421 825.433
0 49 79.1628
0 114 30.3527
0 266 70.6815
1 112 22.3888
1 152 49.2486
1 247 64.1718
1 250 48.3735
1 263 45.8663
1 283 87.18
2 5 22.9147
2 11 60.6505
2 39 45.8706
2 302 47.6383
3 34 88.8181
3 156 55.0839
3 204 76.2413
4 88 50.5582
4 116 82.3581
4 287 116.799
5 39 29.23
5 302 30.0297
6 73 128.204
6 221 86.5518
6 252 143.196
7 9 33.2099
7 87 85.8659
7 233 70.3178
8 69 49.0371
8 125 60.1806
8 209 53.8381
8 272 36.9688
9 87 72.4788
9 149 78.9696
10 28 71.0176
10 76 50.8298
10 142 45.3835
10 148 33.8245
11 218 69.8013
11 261 54.2171
12 77 69.6765
12 126 36.396
12 141 68.0092
12 206 33.7145
13 55 140.259
13 134 152.105
13 269 158.22
14 36 32.9571
14 46 57.873
14 91 30.7607
14 207 17.0169
15 61 18.5985
15 103 82.2915
15 172 44.6662
15 229 71.6917
16 84 36.8068
16 154 57.4403
16 201 25.106
17 81 132.195
17 212 45.1449
17 305 36.7025
18 75 37.7924
18 115 44.5801
18 162 24.8092
19 158 44.6691
19 186 82.6647
19 200 87.6768
20 52 55.5784
20 213 35.8772
20 229 26.1291
21 150 58.6276
21 210 94.0708
21 272 58.2628
22 106 44.5709
22 188 52.9255
22 198 48.7562
23 24 52.511
23 129 42.056
23 279 7.8061
24 150 37.7108
24 272 73.4035
24 279 67.2598
25 185 107.235
25 280 56.8265
25 286 66.5118
26 85 59.4014
26 154 64.5366
26 294 34.7179
27 121 58.1331
27 129 65.4691
27 292 29.6815
28 76 40.9019
28 148 16.8374
28 195 126.27
29 79 139.99
29 95 95.4682
29 145 94.3816
