10000 24263
A1 2864.79 308.233
B1 3244.91 2804.71
C1 2298.95 4014.75
D1 3482.92 1561.88
E1 3718.72 2174.07
F1 2775.05 2655.3
G1 690.739 2843.04
H1 2918.27 813.277
I1 4265.21 3831.41
J1 3751.23 4609.58
K1 3125.89 1092.8
L1 4503.99 2330.76
M1 3298.96 296.879
N1 2193.73 1131.13
O1 4459.49 1770.8
P1 1880.38 3118.88
Q1 1826.51 4340.79
R1 3628.6 629.869
S1 1468.11 570.418
T1 4257.87 2507.13
U1 2360.9 3474.49
V1 2645.13 2113.77
W1 4880.53 2581.02
X1 4036.61 4124.06
Y1 3646.29 4364.73
Z1 585.763 810.488
A2 1553.03 1900.3
B2 2322.82 1321.65
C2 217.78 2157.24
D2 2867.42 3135.94
E2 850.062 3417.49
F2 917.684 4389.45
G2 4898.52 4381.7
H2 2939.62 2873.55
I2 2511.79 563.104
J2 2555.24 1674.98
K2 1835.67 3667.33
L2 1478.46 673.339
M2 965.783 3343.02
N2 1648.92 4997.46
O2 3185.71 4899.4
P2 3299.08 4799.65
Q2 2059.02 2909.13
R2 3354.57 92.2613
S2 4326.57 266.23
T2 4325.37 180.425
U2 1367.84 3990.24
V2 3761.7 2629.02
W2 3537.25 2103.84
X2 3857.31 2242.28
Y2 3980.79 2609.58
Z2 1385.89 881.99
A3 3938.15 3838.58
B3 4579.49 1011.05
C3 627.844 4171.67
D3 4022.88 3318.17
E3 3371.84 4602.15
F3 4756.05 811.232
G3 636.011 622.565
H3 1418.47 3085.16
I3 3571.05 2341.64
J3 4306.68 354.397
K3 509.416 1917.73
L3 3558.51 4360.29
M3 621.22 1276.49
N3 3689.47 1296.23
O3 518.197 3466.01
P3 3398.87 1383.96
Q3 1201.43 1452.53
R3 2100.75 4930.04
S3 3749.48 999.099
T3 1284.8 4161.28
U3 4360.02 2736
V3 1332.24 4731.85
W3 1357.06 1521.86
X3 1850.34 4235.18
Y3 3077.69 4832.21
Z3 143.111 4675.69
A4 1687.19 4137.98
B4 29.247 1327.12
C4 1003.92 1848.13
D4 3179.63 2585.71
E4 3651.9 4494.56
F4 874.339 4855.99
G4 574.021 4461.43
H4 4807.07 3164.41
I4 3308.28 3966.52
J4 1257.34 1257.47
K4 2083.42 2849.03
L4 3273.48 1978.45
M4 2568.88 1627.52
N4 2544.19 390.46
O4 3234.59 3642.87
P4 2817.74 2901.07
Q4 1312.28 1071.63
R4 2377.13 2393.28
S4 3319.23 2359.94
T4 3078.63 1614.49
U4 354.054 4952.43
V4 3595.78 1520.45
W4 2313.73 4833.41
X4 4045.99 3191.65
Y4 62.8366 2333.35
Z4 179.089 778.221
A5 1885.83 1436.32
B5 859.529 1235.56
C5 2313.88 3658.4
D5 2400.56 2801.75
E5 3886.08 121.455
F5 324.518 3484.2
G5 3041.76 1293.4
H5 1058.86 3048.88
I5 140.085 1374.16
J5 1683.33 3655.09
K5 881.836 4277.02
L5 482.17 2600.13
M5 312.367 2163.94
N5 2492.88 3165.36
O5 2128.91 280.085
P5 4328.14 670.133
Q5 84.5635 4994.81
R5 4201.36 968.451
S5 4944.96 4736.61
T5 3314.2 4863.99
U5 105.201 747.248
V5 860.929 1868.87
W5 1968.99 4497.36
X5 3082.52 4314.59
Y5 1685.7 1887.64
Z5 3484.33 1484.99
A6 4711.91 539.466
B6 3417.04 2167.72
C6 1202.22 1494.72
D6 87.2021 3443
E6 1371.85 3758.47
F6 737.176 699.817
G6 4978.43 4604.28
H6 3655.17 1605.99
I6 1108.53 2939.01
J6 4634.2 1767.78
K6 2108.06 3452.91
L6 225.142 4662.79
M6 3298.66 2548.78
N6 54.9858 759.984
O6 3462.68 2615.07
P6 879.359 554.016
Q6 3132.8 2573.8
R6 348.36 4020.66
S6 3391.69 1254.78
T6 2972.91 1194.78
U6 1833.65 1238.65
V6 812.205 421.958
W6 3517.94 4456.79
X6 3546.97 2849.83
Y6 308.14 3234.07
Z6 1296.89 4770.41
A7 4601.29 3740.86
B7 4086 2885.21
C7 4822.5 3463.03
D7 2559.86 462.739
E7 1851.99 4791.5
F7 369.362 4991.06
G7 2853.45 3558.57
H7 4865.46 367.497
I7 4763.48 1731.13
J7 4048.12 2117.97
K7 4504.5 348.994
L7 4076.94 4245.9
M7 388.662 4518.97
N7 1551.02 3270.56
O7 2681.98 3421.96
P7 163.386 2907.4
Q7 1170.66 3947.49
R7 3807.14 709.551
S7 360.535 15.0105
T7 1534.59 3228.65
U7 3024.47 3038.03
V7 628.253 1237.42
W7 2869.45 1395.75
X7 4053.67 2810.41
Y7 3737.19 1445.83
Z7 2101.51 176.169
A8 4291.89 3813.66
B8 690.824 1753.29
C8 4323.29 556.408
D8 147.494 1186.49
E8 886.421 2097.72
F8 1275.55 4394.24
G8 3415.81 2089.39
H8 1630.22 4490.59
I8 3664.08 3821.68
J8 579.124 3155.47
K8 3391.06 3071.67
L8 4379.99 1529.47
M8 4341.34 3437.93
N8 3983.49 4108.53
O8 2695.72 2421.37
P8 4767.41 418.635
Q8 4681.37 1626.25
R8 1447.14 2714.82
S8 3705.01 3029.64
T8 2673.62 3679.74
U8 2852.93 3587.58
V8 117.218 3719.42
W8 4811.34 517.774
X8 2962.21 1723.69
Y8 1299.43 3816.42
Z8 1675.55 3645.94
A9 25.6645 4365.28
B9 4705.33 1790.14
C9 1064.32 3491.33
D9 2295.27 2386.77
E9 2149.39 818.658
F9 3756.77 3275.64
G9 487.293 1050.16
H9 2600.25 1736.09
I9 2426.7 2809.48
J9 2790.22 2613.32
K9 1296.97 692.014
L9 3947.99 519.951
M9 1552.66 1532.96
N9 4438.08 3966.96
O9 2416.44 3907.53
P9 844.769 3576.66
Q9 2618.58 1286.35
R9 4770.04 2272.72
S9 3243.49 201.442
T9 68.9307 2779.58
U9 798.082 372.964
V9 1230.93 1112.78
W9 4696.36 4.90401
X9 1098.79 1666.34
Y9 2888.04 8.14419
Z9 4519.73 3065.89
A10 761.732 2644.87
B10 4614.49 1186.65
C10 2010.92 1467.5
D10 4279.47 832.835
E10 3234.57 3922.3
F10 4672.45 2129.51
G10 1245 4609.53
H10 4414.64 4170.94
I10 336.796 3548.1
J10 2041.19 3604.23
K10 1264.34 2844.36
L10 3132.1 4035.94
M10 4233.62 4353.69
N10 4802.69 1184.83
O10 3786.26 3557.56
P10 4815.91 4178.4
Q10 4055.97 1348.26
R10 1341.72 1809.45
S10 2665.85 223.974
T10 330.806 2512.61
U10 4581.58 1092.93
V10 473.448 3179.47
W10 4150.5 1222.12
X10 3249.3 571.32
Y10 3686.59 4278.71
Z10 1031.06 1520.22
A11 1666.39 3358.1
B11 1428.85 534.542
C11 3189.45 1580.65
D11 2650.63 2225.34
E11 3190.24 2755.64
F11 90.9698 3216.05
G11 2284.37 932.173
H11 3261.47 3798.68
I11 2848.34 2640.05
J11 2122.64 3969.05
K11 2372.82 652.686
L11 2906.53 3992.92
M11 299.126 4794.85
N11 4074.05 1459.99
O11 4140.55 3083.31
P11 1620.08 3724.37
Q11 3642.22 4189.91
R11 564.533 4952.74
S11 1306.26 2089.84
T11 3859.89 1139.36
U11 4856.04 3920.72
V11 1490.29 4484.37
W11 3801.63 3112.12
X11 3926.74 791.536
Y11 3336.58 1572.23
Z11 1888.4 604.556
A12 4388.75 3583.13
B12 3570.06 1731.98
C12 812.177 1255.74
D12 2631.42 3792.78
E12 4532.87 699.494
F12 2570.78 613.59
G12 4157.12 376.36
H12 2468.22 2387.69
I12 2140.82 3442.91
J12 3416.68 722.956
K12 4457.13 4233.94
L12 295.74 1892.04
M12 1597.4 3085.71
N12 4094.88 3110.14
O12 646.451 1117.95
P12 3058.39 1887.97
Q12 3081.33 4047.42
R12 4353.31 4780.81
S12 2633.5 3423.23
T12 3126.92 719.121
U12 4800.06 1334.15
V12 1601.44 3801.98
W12 3995.23 1061.33
X12 4017.97 803.83
Y12 2466.08 335.489
Z12 4842.21 2070.75
A13 349.357 954.164
B13 1951.61 2447.5
C13 2552.44 1124.54
D13 997.436 3857.78
E13 2449.21 1999.66
F13 1226.13 4977.06
G13 2039.25 4606.89
H13 3750.32 822.467
I13 2175.06 489.634
J13 3877.79 1309.69
K13 1570.81 1543.06
L13 2729.46 4548.28
M13 4330.62 1433.49
N13 2128.93 199.766
O13 3863.67 3717.66
P13 666.382 3697.6
Q13 1872.11 3072.04
R13 2624.84 461.484
S13 2445.11 1318.44
T13 3093.11 1216.82
U13 4388.54 3492.45
V13 4523.87 2834
W13 4686.73 2059.12
X13 1060.45 564.856
Y13 3705.91 722.1
Z13 4833.32 4353.47
A14 304.853 1517.63
B14 2518.52 3907.23
C14 3779.14 2157.18
D14 4689.68 2323.95
E14 4882.62 1225.43
F14 2102.5 704.052
G14 4546.02 2981.94
H14 3042.01 3919.19
I14 3632.51 4911.44
J14 3240.33 1946.77
K14 2798.6 4815.82
L14 2632.49 4974.73
M14 595.181 950.111
N14 1324.08 4219.98
O14 266.559 4627.27
P14 2269.04 4856.17
Q14 4467.06 2736.9
R14 2172.04 623.413
S14 2770.96 4516.38
T14 4750.4 4996.01
U14 1494.11 749.144
V14 4334.59 3637.46
W14 263.115 945.049
X14 570.829 445.721
Y14 616.747 4371.21
Z14 1302.76 1829.36
A15 1241.72 1544.69
B15 4284.14 1108.91
C15 2258.38 1157.02
D15 623.553 3752.29
E15 132.994 2929.53
F15 2008.51 3842.37
G15 1375.16 2872.31
H15 2112.13 1667.89
I15 379.929 4785.41
J15 329.86 4610.39
K15 3172.59 3322.61
L15 2942.31 4025.28
M15 1827.39 3199.09
N15 2831.33 968.697
O15 2083.39 572.471
P15 3188.75 1627
Q15 2723.89 4238.05
R15 662.334 3712.55
S15 2005.69 2993.39
T15 1697.26 4538.24
U15 381.824 1898.49
V15 1322.14 3969.14
W15 2513.79 1881.61
X15 4716.4 3645.34
Y15 1993.96 433.37
Z15 3776.02 1007.06
A16 4315.65 3022.73
B16 118.127 4346.56
C16 1335.61 2690.8
D16 754.552 614.185
E16 489.298 408.834
F16 2628.14 2237.29
G16 585.987 3954.03
